Model,Team,Condition,Harm,Metric,trials,mean,sd,se,ci,Format,Cases,Grading,Type,Model1,Model2,Model3,Provider,Label,Exclude
Llama 4 Maverick + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.549,0.024,0.014,0.028,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,Gemini 2.0 Flash,NA,Meta + Google,NA,NA
Llama 4 Maverick + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.606,0.025,0.015,0.029,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,Gemini 2.5 Pro,NA,Meta + Google,NA,NA
Llama 4 Maverick + LiSA 1.0,2-Agent Teams,Advisor + Guardian,All,Completeness,10,0.643,0.028,0.009,0.017,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,LiSA 1.0,NA,Meta + AMBOSS,NA,NA
Llama 4 Maverick + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,Completeness,8,0.497,0.023,0.008,0.016,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,Llama 4 Maverick,NA,Meta + Meta,NA,NA
Llama 4 Maverick + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.504,0.019,0.011,0.021,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,Llama 4 Scout,NA,Meta + Meta,NA,NA
Llama 4 Maverick + o3 mini,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.476,0.012,0.007,0.014,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,o3 mini,NA,Meta + OpenAI,NA,NA
Llama 4 Scout + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.61,0.012,0.007,0.014,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Claude 3.7 Sonnet,NA,Meta + Anthropic,NA,NA
Llama 4 Scout + DeepSeek R1,2-Agent Teams,Advisor + Guardian,All,Completeness,5,0.537,0.024,0.011,0.021,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,DeepSeek R1,NA,Meta + DeepSeek,NA,NA
Llama 4 Scout + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.654,0.028,0.016,0.032,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,GPT-4.1,NA,Meta + OpenAI,NA,NA
Llama 4 Scout + GPT-5,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.512,0.012,0.007,0.014,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,GPT-5,NA,Meta + OpenAI,NA,NA
Llama 4 Scout + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.581,0.019,0.011,0.021,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,GPT-5 mini,NA,Meta + OpenAI,NA,NA
Llama 4 Scout + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.659,0.024,0.014,0.028,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Gemini 2.0 Flash,NA,Meta + Google,NA,NA
Llama 4 Scout + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,Completeness,10,0.618,0.037,0.012,0.023,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Gemini 2.5 Pro,NA,Meta + Google,NA,NA
Llama 4 Scout + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,Completeness,8,0.587,0.018,0.006,0.012,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Maverick,NA,Meta + Meta,NA,NA
Llama 4 Scout + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,All,Completeness,8,0.591,0.016,0.006,0.011,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Scout,NA,Meta + Meta,NA,NA
Llama 4 Scout + o3 mini,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.577,0.025,0.015,0.029,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,o3 mini,NA,Meta + OpenAI,NA,NA
o3 mini + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,All,Completeness,4,0.534,0.025,0.013,0.025,NO,AllCases,Unanimous,AllHarm,o3 mini,Claude 3.7 Sonnet,NA,OpenAI + Anthropic,NA,NA
o3 mini + DeepSeek R1,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.358,0.039,0.023,0.044,NO,AllCases,Unanimous,AllHarm,o3 mini,DeepSeek R1,NA,OpenAI + DeepSeek,NA,NA
o3 mini + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.537,0.044,0.025,0.05,NO,AllCases,Unanimous,AllHarm,o3 mini,GPT-4.1,NA,OpenAI + OpenAI,NA,NA
o3 mini + GPT-5,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.435,0.028,0.016,0.032,NO,AllCases,Unanimous,AllHarm,o3 mini,GPT-5,NA,OpenAI + OpenAI,NA,NA
o3 mini + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.447,0.014,0.008,0.016,NO,AllCases,Unanimous,AllHarm,o3 mini,GPT-5 mini,NA,OpenAI + OpenAI,NA,NA
o3 mini + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.411,0.025,0.015,0.029,NO,AllCases,Unanimous,AllHarm,o3 mini,Gemini 2.0 Flash,NA,OpenAI + Google,NA,NA
o3 mini + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.52,0.019,0.011,0.021,NO,AllCases,Unanimous,AllHarm,o3 mini,Gemini 2.5 Pro,NA,OpenAI + Google,NA,NA
o3 mini + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.264,0.019,0.011,0.021,NO,AllCases,Unanimous,AllHarm,o3 mini,Llama 4 Maverick,NA,OpenAI + Meta,NA,NA
o3 mini + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.28,0.012,0.007,0.014,NO,AllCases,Unanimous,AllHarm,o3 mini,Llama 4 Scout,NA,OpenAI + Meta,NA,NA
o3 mini + o3 mini,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.268,0.024,0.014,0.028,NO,AllCases,Unanimous,AllHarm,o3 mini,o3 mini,NA,OpenAI + OpenAI,NA,NA
DeepSeek R1 + DeepSeek R1 + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,6,0.5,0.043,0.018,0.034,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,DeepSeek R1,DeepSeek R1,DeepSeek + DeepSeek + DeepSeek,NA,NA
DeepSeek R1 + DeepSeek R1 + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,6,0.498,0.03,0.012,0.024,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,DeepSeek R1,GPT-5,DeepSeek + DeepSeek + OpenAI,NA,NA
DeepSeek R1 + Gemini 2.0 Flash + Claude 3.7 Sonnet,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,9,0.622,0.034,0.011,0.022,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.0 Flash,Claude 3.7 Sonnet,DeepSeek + Google + Anthropic,NA,NA
DeepSeek R1 + Gemini 2.0 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,6,0.583,0.016,0.007,0.013,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.0 Flash,Gemini 2.5 Pro,DeepSeek + Google + Google,NA,NA
DeepSeek R1 + Gemini 2.0 Flash + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,10,0.632,0.033,0.011,0.021,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.0 Flash,LiSA 1.0,DeepSeek + Google + AMBOSS,NA,NA
